#window.start	window.end	window.center	Gene	Population	nsnps.maf	maf,upper
42684475	42784475	42734475	SIAT8E	Kalash	4	1,00
42714475	42814475	42764475	SIAT8E	Kalash	4	1,00
191202115	191302115	191252115	B3GALT2	Karitiana	3	1,00
191232115	191332115	191282115	B3GALT2	Karitiana	3	1,00
191262115	191362115	191312115	B3GALT2	Karitiana	3	1,00
191292115	191392115	191342115	B3GALT2	Karitiana	2	1,00
191322115	191422115	191372115	B3GALT2	Karitiana	4	1,00
191352115	191452115	191402115	B3GALT2	Karitiana	4	1,00
191382115	191482115	191432115	B3GALT2	Karitiana	5	1,00
191412115	191512115	191462115	B3GALT2	Karitiana	2	1,00
191442115	191542115	191492115	B3GALT2	Karitiana	2	1,00
191472115	191572115	191522115	B3GALT2	Karitiana	5	1,00
191502115	191602115	191552115	B3GALT2	Karitiana	6	1,00
191532115	191632115	191582115	B3GALT2	Karitiana	6	1,00
191562115	191662115	191612115	B3GALT2	Karitiana	6	1,00
184062970	184162970	184112970	B3GNT5	Karitiana	6	1,00
76264680	76364680	76314680	B3GNT6	Karitiana	5	1,00
30312171	30412171	30362171	FUT12	Karitiana	3	1,00
30342171	30442171	30392171	FUT12	Karitiana	4	1,00
30372171	30472171	30422171	FUT12	Karitiana	3	1,00
30402171	30502171	30452171	FUT12	Karitiana	3	1,00
30432171	30532171	30482171	FUT12	Karitiana	1	1,00
30462171	30562171	30512171	FUT12	Karitiana	1	1,00
6132265	6232265	6182265	FUT5_6	Karitiana	8	1,00
151544698	151644698	151594698	GALNT11_15	Karitiana	2	1,00
151574698	151674698	151624698	GALNT11_15	Karitiana	9	1,00
151604698	151704698	151654698	GALNT11_15	Karitiana	12	1,00
151634698	151734698	151684698	GALNT11_15	Karitiana	11	1,00
228070183	228170183	228120183	GALNT2	Karitiana	2	1,00
228100183	228200183	228150183	GALNT2	Karitiana	3	1,00
49881968	49981968	49931968	GALNT6	Karitiana	9	1,00
172583751	172683751	172633751	GALNT7_17	Karitiana	6	1,00
172613751	172713751	172663751	GALNT7_17	Karitiana	8	1,00
172643751	172743751	172693751	GALNT7_17	Karitiana	12	1,00
172673751	172773751	172723751	GALNT7_17	Karitiana	10	1,00
172703751	172803751	172753751	GALNT7_17	Karitiana	12	1,00
172733751	172833751	172783751	GALNT7_17	Karitiana	5	1,00
172763751	172863751	172813751	GALNT7_17	Karitiana	4	1,00
172793751	172893751	172843751	GALNT7_17	Karitiana	1	1,00
174173751	174273751	174223751	GALNT7_17	Karitiana	5	1,00
131425942	131525942	131475942	GALNT9	Karitiana	1	1,00
131575942	131675942	131625942	GALNT9	Karitiana	1	1,00
43815707	43915707	43865707	SIAT6	Karitiana	10	1,00
42714475	42814475	42764475	SIAT8E	Karitiana	4	1,00
70856969	70956969	70906969	OGT	Mandenka	1	1,00
70886969	70986969	70936969	OGT	Mandenka	1	1,00
191292115	191392115	191342115	B3GALT2	Maya	2	1,00
191502115	191602115	191552115	B3GALT2	Maya	6	1,00
191532115	191632115	191582115	B3GALT2	Maya	6	1,00
75135452	75235452	75185452	FUT11	Maya	1	1,00
75165452	75265452	75215452	FUT11	Maya	1	1,00
138834524	138934524	138884524	FUT7	Maya	7	1,00
31466900	31566900	31516900	GALNT14	Maya	7	1,00
31496900	31596900	31546900	GALNT14	Maya	6	1,00
31526900	31626900	31576900	GALNT14	Maya	5	1,00
131425942	131525942	131475942	GALNT9	Maya	1	1,00
121251370	121351370	121301370	B3GNT4	Mbuti.Pygmies	2	1,00
68651490	68751490	68701490	SIAT4B	Mbuti.Pygmies	1	1,00
68681490	68781490	68731490	SIAT4B	Mbuti.Pygmies	1	1,00
65501040	65601040	65551040	B3GNT1	NAN.Melanesian	9	1,00
65531040	65631040	65581040	B3GNT1	NAN.Melanesian	8	1,00
65561040	65661040	65611040	B3GNT1	NAN.Melanesian	7	1,00
65591040	65691040	65641040	B3GNT1	NAN.Melanesian	7	1,00
138804524	138904524	138854524	FUT7	NAN.Melanesian	3	1,00
30596900	30696900	30646900	GALNT14	NAN.Melanesian	7	1,00
30626900	30726900	30676900	GALNT14	NAN.Melanesian	9	1,00
70376969	70476969	70426969	OGT	NAN.Melanesian	1	1,00
70406969	70506969	70456969	OGT	NAN.Melanesian	1	1,00
70436969	70536969	70486969	OGT	NAN.Melanesian	1	1,00
70856969	70956969	70906969	OGT	NAN.Melanesian	1	1,00
70886969	70986969	70936969	OGT	NAN.Melanesian	1	1,00
17844449	17944449	17894449	SIAT8F	NAN.Melanesian	2	1,00
191202115	191302115	191252115	B3GALT2	North.East.China	3	1,00
191232115	191332115	191282115	B3GALT2	North.East.China	3	1,00
191262115	191362115	191312115	B3GALT2	North.East.China	3	1,00
191292115	191392115	191342115	B3GALT2	North.East.China	2	1,00
191322115	191422115	191372115	B3GALT2	North.East.China	4	1,00
191442115	191542115	191492115	B3GALT2	North.East.China	2	1,00
191472115	191572115	191522115	B3GALT2	North.East.China	5	1,00
191502115	191602115	191552115	B3GALT2	North.East.China	6	1,00
191532115	191632115	191582115	B3GALT2	North.East.China	6	1,00
172643751	172743751	172693751	GALNT7_17	North.East.China	12	1,00
70856969	70956969	70906969	OGT	North.East.China	1	1,00
70886969	70986969	70936969	OGT	North.East.China	1	1,00
119847737	119947737	119897737	C1GALT1C1	North.Italy	1	1,00
42654475	42754475	42704475	SIAT8E	North.Italy	4	1,00
42684475	42784475	42734475	SIAT8E	North.Italy	4	1,00
42714475	42814475	42764475	SIAT8E	North.Italy	4	1,00
191322115	191422115	191372115	B3GALT2	North.West.China	4	1,00
131425942	131525942	131475942	GALNT9	Orcadian	1	1,00
120861370	120961370	120911370	B3GNT4	Papuan	3	1,00
33217013	33317013	33267013	B4GALT1	Papuan	11	1,00
119877737	119977737	119927737	C1GALT1C1	Papuan	3	1,00
74805452	74905452	74855452	FUT11	Papuan	4	1,00
74835452	74935452	74885452	FUT11	Papuan	3	1,00
74865452	74965452	74915452	FUT11	Papuan	3	1,00
74895452	74995452	74945452	FUT11	Papuan	3	1,00
74925452	75025452	74975452	FUT11	Papuan	2	1,00
74955452	75055452	75005452	FUT11	Papuan	2	1,00
172823751	172923751	172873751	GALNT7_17	Papuan	3	1,00
70796969	70896969	70846969	OGT	Papuan	1	1,00
70946969	71046969	70996969	OGT	Papuan	1	1,00
70976969	71076969	71026969	OGT	Papuan	1	1,00
99785776	99885776	99835776	SIAT10	Papuan	6	1,00
44325707	44425707	44375707	SIAT6	Papuan	11	1,00
44445707	44545707	44495707	SIAT6	Papuan	7	1,00
44475707	44575707	44525707	SIAT6	Papuan	5	1,00
77337338	77437338	77387338	SIAT7C_E	Papuan	5	1,00
77367338	77467338	77417338	SIAT7C_E	Papuan	3	1,00
70586969	70686969	70636969	OGT	Pathan	2	1,00
70616969	70716969	70666969	OGT	Pathan	2	1,00
70646969	70746969	70696969	OGT	Pathan	2	1,00
42714475	42814475	42764475	SIAT8E	Pathan	4	1,00
191202115	191302115	191252115	B3GALT2	Pima	3	1,00
191232115	191332115	191282115	B3GALT2	Pima	3	1,00
191262115	191362115	191312115	B3GALT2	Pima	3	1,00
191292115	191392115	191342115	B3GALT2	Pima	2	1,00
191322115	191422115	191372115	B3GALT2	Pima	4	1,00
191352115	191452115	191402115	B3GALT2	Pima	4	1,00
191382115	191482115	191432115	B3GALT2	Pima	5	1,00
191412115	191512115	191462115	B3GALT2	Pima	2	1,00
191442115	191542115	191492115	B3GALT2	Pima	2	1,00
191472115	191572115	191522115	B3GALT2	Pima	5	1,00
191502115	191602115	191552115	B3GALT2	Pima	6	1,00
191532115	191632115	191582115	B3GALT2	Pima	6	1,00
65801040	65901040	65851040	B3GNT1	Pima	5	1,00
65831040	65931040	65881040	B3GNT1	Pima	1	1,00
120861370	120961370	120911370	B3GNT4	Pima	7	1,00
30222171	30322171	30272171	FUT12	Pima	4	1,00
30252171	30352171	30302171	FUT12	Pima	3	1,00
30282171	30382171	30332171	FUT12	Pima	3	1,00
30312171	30412171	30362171	FUT12	Pima	3	1,00
94113691	94213691	94163691	FUT4	Pima	4	1,00
94143691	94243691	94193691	FUT4	Pima	2	1,00
30626900	30726900	30676900	GALNT14	Pima	9	1,00
228070183	228170183	228120183	GALNT2	Pima	3	1,00
228100183	228200183	228150183	GALNT2	Pima	2	1,00
131425942	131525942	131475942	GALNT9	Pima	1	1,00
68681490	68781490	68731490	SIAT4B	Pima	1	1,00
22607968	22707968	22657968	SIAT8A	Pima	1	1,00
151514698	151614698	151564698	GALNT11_15	Russian	1	1,00
68681490	68781490	68731490	SIAT4B	Russian	1	1,00
99800916	99900916	99850916	SIAT8D	San	1	1,00
151514698	151614698	151564698	GALNT11_15	Sardinian	1	1,00
42714475	42814475	42764475	SIAT8E	Sindhi	4	1,00
191292115	191392115	191342115	B3GALT2	South.China	2	1,00
191442115	191542115	191492115	B3GALT2	South.China	2	1,00
191472115	191572115	191522115	B3GALT2	South.China	5	1,00
191502115	191602115	191552115	B3GALT2	South.China	6	1,00
191532115	191632115	191582115	B3GALT2	South.China	6	1,00
76264680	76364680	76314680	B3GNT6	South.China	5	1,00
70856969	70956969	70906969	OGT	South.China	1	1,00
70886969	70986969	70936969	OGT	South.China	1	1,00
39728604	39828604	39778604	B3GALT5	Surui	5	1,00
39758604	39858604	39808604	B3GALT5	Surui	10	1,00
39788604	39888604	39838604	B3GALT5	Surui	14	1,00
62360589	62460589	62410589	B3GNT2	Surui	6	1,00
120861370	120961370	120911370	B3GNT4	Surui	7	1,00
120891370	120991370	120941370	B3GNT4	Surui	5	1,00
120921370	121021370	120971370	B3GNT4	Surui	3	1,00
120951370	121051370	121001370	B3GNT4	Surui	2	1,00
184212970	184312970	184262970	B3GNT5	Surui	6	1,00
184242970	184342970	184292970	B3GNT5	Surui	12	1,00
184272970	184372970	184322970	B3GNT5	Surui	14	1,00
120403382	120503382	120453382	B4GALT4	Surui	12	1,00
120433382	120533382	120483382	B4GALT4	Surui	11	1,00
75525452	75625452	75575452	FUT11	Surui	4	1,00
30012171	30112171	30062171	FUT12	Surui	7	1,00
54001528	54101528	54051528	FUT1_2	Surui	10	1,00
5742265	5842265	5792265	FUT5_6	Surui	1	1,00
138864524	138964524	138914524	FUT7	Surui	7	1,00
153335529	153435529	153385529	GALNT10	Surui	1	1,00
153365529	153465529	153415529	GALNT10	Surui	1	1,00
31466900	31566900	31516900	GALNT14	Surui	7	1,00
31496900	31596900	31546900	GALNT14	Surui	6	1,00
31526900	31626900	31576900	GALNT14	Surui	5	1,00
228070183	228170183	228120183	GALNT2	Surui	1	1,00
228100183	228200183	228150183	GALNT2	Surui	1	1,00
165916007	166016007	165966007	GALNT3	Surui	14	1,00
165946007	166046007	165996007	GALNT3	Surui	17	1,00
165976007	166076007	166026007	GALNT3	Surui	16	1,00
166006007	166106007	166056007	GALNT3	Surui	14	1,00
157912879	158012879	157962879	GALNT5	Surui	4	1,00
173483751	173583751	173533751	GALNT7_17	Surui	6	1,00
173513751	173613751	173563751	GALNT7_17	Surui	5	1,00
173543751	173643751	173593751	GALNT7_17	Surui	3	1,00
173573751	173673751	173623751	GALNT7_17	Surui	2	1,00
173603751	173703751	173653751	GALNT7_17	Surui	3	1,00
173633751	173733751	173683751	GALNT7_17	Surui	2	1,00
173663751	173763751	173713751	GALNT7_17	Surui	1	1,00
131425942	131525942	131475942	GALNT9	Surui	1	1,00
57414828	57514828	57464828	GCNT3	Surui	17	1,00
57444828	57544828	57494828	GCNT3	Surui	12	1,00
57474828	57574828	57524828	GCNT3	Surui	7	1,00
125571995	125671995	125621995	SIAT4C	Surui	10	1,00
125601995	125701995	125651995	SIAT4C	Surui	9	1,00
100010916	100110916	100060916	SIAT8D	Surui	12	1,00
191322115	191422115	191372115	B3GALT2	Yakut	4	1,00
191532115	191632115	191582115	B3GALT2	Yakut	6	1,00
76264680	76364680	76314680	B3GNT6	Yakut	5	1,00
70796969	70896969	70846969	OGT	Yakut	1	1,00
70856969	70956969	70906969	OGT	Yakut	1	1,00
70886969	70986969	70936969	OGT	Yakut	1	1,00
159011585	159111585	159061585	B4GALT3	Colombian	20	0,95
64818701	64918701	64868701	FUT8	Karitiana	16	0,94
33489383	33589383	33539383	FUT10	French	15	0,93
43785707	43885707	43835707	SIAT6	Karitiana	15	0,93
184302970	184402970	184352970	B3GNT5	Surui	14	0,93
93843691	93943691	93893691	FUT4	Surui	14	0,93
42774475	42874475	42824475	SIAT8E	Adygei	14	0,93
33519383	33619383	33569383	FUT10	French	14	0,93
33519383	33619383	33569383	FUT10	Russian	14	0,93
33519383	33619383	33569383	FUT10	Sardinian	14	0,93
42774475	42874475	42824475	SIAT8E	Basque	13	0,92
33519383	33619383	33569383	FUT10	Kalash	13	0,92
33219383	33319383	33269383	FUT10	Pathan	13	0,92
33279383	33379383	33329383	FUT10	Colombian	11	0,91
49851968	49951968	49901968	GALNT6	Karitiana	11	0,91
129561436	129661436	129611436	SIAT7D_F	Surui	11	0,91
33189383	33289383	33239383	FUT10	Adygei	11	0,91
42744475	42844475	42794475	SIAT8E	Adygei	11	0,91
33189383	33289383	33239383	FUT10	Balochi	11	0,91
42744475	42844475	42794475	SIAT8E	Karitiana	11	0,91
42744475	42844475	42794475	SIAT8E	Makrani	11	0,91
42744475	42844475	42794475	SIAT8E	Pathan	11	0,91
4633650	4733650	4683650	GALNT8	Surui	11	0,91
168162253	168262253	168212253	B3GALT1	Surui	10	0,90
70947650	71047650	70997650	WBSCR17	Surui	10	0,90
33399383	33499383	33449383	FUT10	Yakut	10	0,90
119427737	119527737	119477737	C1GALT1C1	Colombian	9	0,89
121551370	121651370	121601370	B3GNT4	Han	9	0,89
33549383	33649383	33599383	FUT10	Hazara	9	0,89
172613751	172713751	172663751	GALNT7_17	Japanese	9	0,89
174113751	174213751	174163751	GALNT7_17	Karitiana	9	0,89
62390589	62490589	62440589	B3GNT2	Surui	9	0,89
33549383	33649383	33599383	FUT10	Brahui	9	0,89
33609383	33709383	33659383	FUT10	Burusho	9	0,89
33669383	33769383	33719383	FUT10	Burusho	9	0,89
174533751	174633751	174583751	GALNT7_17	Druze	9	0,89
33549383	33649383	33599383	FUT10	French	9	0,89
33609383	33709383	33659383	FUT10	Kalash	9	0,89
33669383	33769383	33719383	FUT10	Kalash	9	0,89
49911968	50011968	49961968	GALNT6	Karitiana	9	0,89
172613751	172713751	172663751	GALNT7_17	Maya	9	0,89
172613751	172713751	172663751	GALNT7_17	North.East.China	9	0,89
33549383	33649383	33599383	FUT10	Russian	9	0,89
33609383	33709383	33659383	FUT10	Russian	9	0,89
33669383	33769383	33719383	FUT10	Russian	9	0,89
33549383	33649383	33599383	FUT10	Sardinian	9	0,89
10896934	10996934	10946934	GCNT2	Surui	9	0,89
44145707	44245707	44195707	SIAT6	Surui	9	0,89
57384828	57484828	57434828	GCNT3	Surui	25	0,88
77127338	77227338	77177338	SIAT7C_E	Colombian	8	0,88
90998449	91098449	91048449	SIAT8B	Colombian	16	0,88
57804828	57904828	57854828	GCNT3	Han	16	0,88
33579383	33679383	33629383	FUT10	Hazara	8	0,88
173303751	173403751	173353751	GALNT7_17	Karitiana	8	0,88
174143751	174243751	174193751	GALNT7_17	Karitiana	8	0,88
173303751	173403751	173353751	GALNT7_17	Maya	8	0,88
57804828	57904828	57854828	GCNT3	North.West.China	16	0,88
119427737	119527737	119477737	C1GALT1C1	Papuan	8	0,88
33579383	33679383	33629383	FUT10	Sindhi	8	0,88
4603650	4703650	4653650	GALNT8	Surui	8	0,88
77127338	77227338	77177338	SIAT7C_E	Surui	8	0,88
33579383	33679383	33629383	FUT10	Brahui	8	0,88
33639383	33739383	33689383	FUT10	Burusho	8	0,88
33579383	33679383	33629383	FUT10	French	8	0,88
33639383	33739383	33689383	FUT10	Kalash	8	0,88
138774524	138874524	138824524	FUT7	NAN.Melanesian	8	0,88
33579383	33679383	33629383	FUT10	Pathan	8	0,88
30132171	30232171	30182171	FUT12	Pima	8	0,88
30596900	30696900	30646900	GALNT14	Pima	8	0,88
33579383	33679383	33629383	FUT10	Russian	8	0,88
33639383	33739383	33689383	FUT10	Russian	8	0,88
33579383	33679383	33629383	FUT10	Sardinian	8	0,88
174563751	174663751	174613751	GALNT7_17	Surui	8	0,88
100070916	100170916	100120916	SIAT8D	Surui	15	0,87
33489383	33589383	33539383	FUT10	Russian	15	0,87
33459383	33559383	33509383	FUT10	Adygei	15	0,87
42774475	42874475	42824475	SIAT8E	Druze	15	0,87
43755707	43855707	43805707	SIAT6	Karitiana	15	0,87
42774475	42874475	42824475	SIAT8E	Makrani	15	0,87
154279031	154379031	154329031	GALNT13	NAN.Melanesian	15	0,87
33129383	33229383	33179383	FUT10	Adygei	7	0,86
191562115	191662115	191612115	B3GALT2	Colombian	7	0,86
62150589	62250589	62200589	B3GNT2	Colombian	7	0,86
173273751	173373751	173323751	GALNT7_17	Colombian	7	0,86
62150589	62250589	62200589	B3GNT2	French	7	0,86
62180589	62280589	62230589	B3GNT2	French	7	0,86
68607775	68707775	68657775	GALNTL1	Kalash	7	0,86
42624475	42724475	42674475	SIAT8E	Kalash	7	0,86
76294680	76394680	76344680	B3GNT6	Karitiana	7	0,86
151454698	151554698	151504698	GALNT11_15	Karitiana	7	0,86
21947968	22047968	21997968	SIAT8A	Karitiana	7	0,86
191742115	191842115	191792115	B3GALT2	Pima	7	0,86
33427013	33527013	33477013	B4GALT1	Surui	7	0,86
138834524	138934524	138884524	FUT7	Surui	7	0,86
77367338	77467338	77417338	SIAT7C_E	Surui	7	0,86
33159383	33259383	33209383	FUT10	Adygei	14	0,86
191562115	191662115	191612115	B3GALT2	Han	7	0,86
191562115	191662115	191612115	B3GALT2	Japanese	7	0,86
173603751	173703751	173653751	GALNT7_17	Karitiana	7	0,86
131545942	131645942	131595942	GALNT9	Karitiana	7	0,86
191562115	191662115	191612115	B3GALT2	Maya	7	0,86
191592115	191692115	191642115	B3GALT2	Maya	7	0,86
154309031	154409031	154359031	GALNT13	NAN.Melanesian	14	0,86
154339031	154439031	154389031	GALNT13	NAN.Melanesian	14	0,86
191562115	191662115	191612115	B3GALT2	North.East.China	7	0,86
33247013	33347013	33297013	B4GALT1	Papuan	7	0,86
30162171	30262171	30212171	FUT12	Pima	7	0,86
191562115	191662115	191612115	B3GALT2	South.China	7	0,86
131245942	131345942	131295942	GALNT9	Surui	14	0,86
44115707	44215707	44165707	SIAT6	Surui	7	0,86
191502115	191602115	191552115	B3GALT2	Yakut	7	0,86
191562115	191662115	191612115	B3GALT2	Yakut	7	0,86
191592115	191692115	191642115	B3GALT2	Yakut	7	0,86
129831436	129931436	129881436	SIAT7D_F	NAN.Melanesian	13	0,85
33459383	33559383	33509383	FUT10	North.East.China	13	0,85
33459383	33559383	33509383	FUT10	Russian	13	0,85
62420589	62520589	62470589	B3GNT2	Surui	13	0,85
93813691	93913691	93863691	FUT4	Surui	13	0,85
125631995	125731995	125681995	SIAT4C	Surui	13	0,85
129531436	129631436	129581436	SIAT7D_F	Surui	13	0,85
100040916	100140916	100090916	SIAT8D	Surui	13	0,85
174563751	174663751	174613751	GALNT7_17	Druze	13	0,85
42774475	42874475	42824475	SIAT8E	Yoruba	13	0,85
159071585	159171585	159121585	B4GALT3	Papuan	19	0,84
39818604	39918604	39868604	B3GALT5	Surui	19	0,84
96983842	97083842	97033842	FUT9	Cambodian	6	0,83
119397737	119497737	119447737	C1GALT1C1	Colombian	12	0,83
33309383	33409383	33359383	FUT10	Colombian	12	0,83
31496900	31596900	31546900	GALNT14	Colombian	6	0,83
158062879	158162879	158112879	GALNT5	Colombian	6	0,83
172643751	172743751	172693751	GALNT7_17	Japanese	12	0,83
184092970	184192970	184142970	B3GNT5	Karitiana	6	0,83
173333751	173433751	173383751	GALNT7_17	Karitiana	12	0,83
173363751	173463751	173413751	GALNT7_17	Karitiana	12	0,83
65621040	65721040	65671040	B3GNT1	NAN.Melanesian	6	0,83
120891370	120991370	120941370	B3GNT4	Papuan	6	0,83
94233691	94333691	94283691	FUT4	Papuan	6	0,83
65771040	65871040	65821040	B3GNT1	Pima	6	0,83
29982171	30082171	30032171	FUT12	Surui	6	0,83
174503751	174603751	174553751	GALNT7_17	Adygei	6	0,83
42744475	42844475	42794475	SIAT8E	Basque	12	0,83
191472115	191572115	191522115	B3GALT2	Maya	6	0,83
191382115	191482115	191432115	B3GALT2	North.East.China	6	0,83
172673751	172773751	172723751	GALNT7_17	North.East.China	12	0,83
30192171	30292171	30242171	FUT12	Pima	6	0,83
52862681	52962681	52912681	SIAT8C	Pima	18	0,83
159101585	159201585	159151585	B4GALT3	Colombian	17	0,82
78233569	78333569	78283569	GCNT1	Karitiana	17	0,82
131215942	131315942	131265942	GALNT9	Surui	17	0,82
43605707	43705707	43655707	SIAT6	Adygei	11	0,82
43605707	43705707	43655707	SIAT6	Bedouin	11	0,82
43605707	43705707	43655707	SIAT6	Colombian	11	0,82
43605707	43705707	43655707	SIAT6	Druze	11	0,82
43605707	43705707	43655707	SIAT6	French	11	0,82
159221585	159321585	159271585	B4GALT3	Karitiana	11	0,82
49821968	49921968	49871968	GALNT6	Karitiana	11	0,82
173393751	173493751	173443751	GALNT7_17	Karitiana	11	0,82
43605707	43705707	43655707	SIAT6	Sardinian	11	0,82
99875776	99975776	99925776	SIAT10	South.China	11	0,82
77157338	77257338	77207338	SIAT7C_E	Surui	11	0,82
173723751	173823751	173773751	GALNT7_17	Bedouin	11	0,82
43815707	43915707	43865707	SIAT6	Cambodian	11	0,82
159221585	159321585	159271585	B4GALT3	Colombian	11	0,82
174083751	174183751	174133751	GALNT7_17	Colombian	11	0,82
173723751	173823751	173773751	GALNT7_17	NAN.Melanesian	11	0,82
31420883	31520883	31470883	GALNT1	Orcadian	11	0,82
173723751	173823751	173773751	GALNT7_17	Adygei	11	0,82
100175776	100275776	100225776	SIAT10	Maya	11	0,82
173753751	173853751	173803751	GALNT7_17	NAN.Melanesian	11	0,82
33399383	33499383	33449383	FUT10	North.East.China	11	0,82
126021995	126121995	126071995	SIAT4C	Surui	27	0,81
155269031	155369031	155319031	GALNT13	Pima	27	0,81
99575776	99675776	99625776	SIAT10	NAN.Melanesian	16	0,81
57804828	57904828	57854828	GCNT3	North.East.China	16	0,81
228700183	228800183	228750183	GALNT2	Surui	16	0,81
129501436	129601436	129551436	SIAT7D_F	Basque	16	0,81
31300883	31400883	31350883	GALNT1	Surui	21	0,81
